ticker,name,sector,exchange,source
AAPL,Apple Inc.,Information Technology,US,both
ABNB,Airbnb,Consumer Discretionary,US,both
ADBE,Adobe Inc.,Information Technology,US,both
ADI,Analog Devices,Information Technology,US,both
ADP,Automatic Data Processing,Industrials,US,both
ADSK,Autodesk,Information Technology,US,both
AEP,American Electric Power,Utilities,US,both
AMAT,Applied Materials,Information Technology,US,both
AMD,Advanced Micro Devices,Information Technology,US,both
AMGN,Amgen,Health Care,US,both
AMZN,Amazon,Consumer Discretionary,US,both
APP,AppLovin,Information Technology,US,both
AVGO,Broadcom,Information Technology,US,both
AXON,Axon Enterprise,Industrials,US,both
BKNG,Booking Holdings,Consumer Discretionary,US,both
BKR,Baker Hughes,Energy,US,both
CDNS,Cadence Design Systems,Information Technology,US,both
CEG,Constellation Energy,Utilities,US,both
CHTR,Charter Communications,Communication Services,US,both
CMCSA,Comcast,Communication Services,US,both
COST,Costco,Consumer Staples,US,both
CPRT,Copart,Industrials,US,both
CRWD,CrowdStrike,Information Technology,US,both
CSCO,Cisco,Information Technology,US,both
CSGP,CoStar Group,Real Estate,US,both
CSX,CSX Corporation,Industrials,US,both
CTAS,Cintas,Industrials,US,both
CTSH,Cognizant,Information Technology,US,both
DASH,DoorDash,Consumer Discretionary,US,both
DDOG,Datadog,Information Technology,US,both
DXCM,Dexcom,Health Care,US,both
EA,Electronic Arts,Communication Services,US,both
EXC,Exelon,Utilities,US,both
FANG,Diamondback Energy,Energy,US,both
FAST,Fastenal,Industrials,US,both
FTNT,Fortinet,Information Technology,US,both
GEHC,GE HealthCare,Health Care,US,both
GILD,Gilead Sciences,Health Care,US,both
GOOG,Alphabet Inc. (Class C),Communication Services,US,both
GOOGL,Alphabet Inc. (Class A),Communication Services,US,both
HON,Honeywell,Industrials,US,both
IDXX,Idexx Laboratories,Health Care,US,both
INTC,Intel,Information Technology,US,both
INTU,Intuit,Information Technology,US,both
ISRG,Intuitive Surgical,Health Care,US,both
KDP,Keurig Dr Pepper,Consumer Staples,US,both
KHC,Kraft Heinz,Consumer Staples,US,both
KLAC,KLA Corporation,Information Technology,US,both
LIN,Linde plc,Materials,US,both
LRCX,Lam Research,Information Technology,US,both
MAR,Marriott International,Consumer Discretionary,US,both
MCHP,Microchip Technology,Information Technology,US,both
MDLZ,Mondelez International,Consumer Staples,US,both
META,Meta Platforms,Communication Services,US,both
MNST,Monster Beverage,Consumer Staples,US,both
MPWR,Monolithic Power Systems,Information Technology,US,both
MSFT,Microsoft,Information Technology,US,both
MU,Micron Technology,Information Technology,US,both
NFLX,Netflix,Communication Services,US,both
NVDA,Nvidia,Information Technology,US,both
NXPI,NXP Semiconductors,Information Technology,US,both
ODFL,Old Dominion,Industrials,US,both
ORLY,O’Reilly Automotive,Consumer Discretionary,US,both
PANW,Palo Alto Networks,Information Technology,US,both
PAYX,Paychex,Industrials,US,both
PCAR,Paccar,Industrials,US,both
PEP,PepsiCo,Consumer Staples,US,both
PLTR,Palantir Technologies,Information Technology,US,both
PYPL,PayPal,Financials,US,both
QCOM,Qualcomm,Information Technology,US,both
REGN,Regeneron Pharmaceuticals,Health Care,US,both
ROP,Roper Technologies,Information Technology,US,both
ROST,Ross Stores,Consumer Discretionary,US,both
SBUX,Starbucks,Consumer Discretionary,US,both
SNPS,Synopsys,Information Technology,US,both
STX,Seagate Technology,Information Technology,US,both
TMUS,T-Mobile US,Communication Services,US,both
TSLA,"Tesla, Inc.",Consumer Discretionary,US,both
TTWO,Take-Two Interactive,Communication Services,US,both
TXN,Texas Instruments,Information Technology,US,both
VRSK,Verisk Analytics,Industrials,US,both
VRTX,Vertex Pharmaceuticals,Health Care,US,both
WBD,Warner Bros. Discovery,Communication Services,US,both
WDAY,"Workday, Inc.",Information Technology,US,both
WDC,Western Digital,Information Technology,US,both
WMT,Walmart,Consumer Staples,US,both
XEL,Xcel Energy,Utilities,US,both
ALNY,Alnylam Pharmaceuticals,Biotechnology,US,nasdaq100
ARM,Arm Holdings,Semiconductors,US,nasdaq100
ASML,ASML Holding,Industrial Machinery,US,nasdaq100
CCEP,Coca-Cola Europacific Partners,Soft Drinks,US,nasdaq100
FER,Ferrovial,"Military, Government, Technical",US,nasdaq100
INSM,Insmed Incorporated,Biotechnology,US,nasdaq100
MELI,Mercado Libre,Catalog/Specialty Distribution,US,nasdaq100
MRVL,Marvell Technology,Semiconductors,US,nasdaq100
MSTR,MicroStrategy,Computer Software,US,nasdaq100
PDD,PDD Holdings,EDP Services,US,nasdaq100
SHOP,Shopify,Computer Software,US,nasdaq100
TEAM,Atlassian,Computer Software,US,nasdaq100
TRI,Thomson Reuters,Computer Software,US,nasdaq100
ZS,Zscaler,EDP Services,US,nasdaq100
A,Agilent Technologies,Health Care,US,sp500
ABBV,AbbVie,Health Care,US,sp500
ABT,Abbott Laboratories,Health Care,US,sp500
ACGL,Arch Capital Group,Financials,US,sp500
ACN,Accenture,Information Technology,US,sp500
ADM,Archer Daniels Midland,Consumer Staples,US,sp500
AEE,Ameren,Utilities,US,sp500
AES,AES Corporation,Utilities,US,sp500
AFL,Aflac,Financials,US,sp500
AIG,American International Group,Financials,US,sp500
AIZ,Assurant,Financials,US,sp500
AJG,Arthur J. Gallagher & Co.,Financials,US,sp500
AKAM,Akamai Technologies,Information Technology,US,sp500
ALB,Albemarle Corporation,Materials,US,sp500
ALGN,Align Technology,Health Care,US,sp500
ALL,Allstate,Financials,US,sp500
ALLE,Allegion,Industrials,US,sp500
AMCR,Amcor,Materials,US,sp500
AME,Ametek,Industrials,US,sp500
AMP,Ameriprise Financial,Financials,US,sp500
AMT,American Tower,Real Estate,US,sp500
ANET,Arista Networks,Information Technology,US,sp500
AON,Aon plc,Financials,US,sp500
AOS,A. O. Smith,Industrials,US,sp500
APA,APA Corporation,Energy,US,sp500
APD,Air Products,Materials,US,sp500
APH,Amphenol,Information Technology,US,sp500
APO,Apollo Global Management,Financials,US,sp500
APTV,Aptiv,Consumer Discretionary,US,sp500
ARE,Alexandria Real Estate Equities,Real Estate,US,sp500
ARES,Ares Management,Financials,US,sp500
ATO,Atmos Energy,Utilities,US,sp500
AVB,AvalonBay Communities,Real Estate,US,sp500
AVY,Avery Dennison,Materials,US,sp500
AWK,American Water Works,Utilities,US,sp500
AXP,American Express,Financials,US,sp500
AZO,AutoZone,Consumer Discretionary,US,sp500
BA,Boeing,Industrials,US,sp500
BAC,Bank of America,Financials,US,sp500
BALL,Ball Corporation,Materials,US,sp500
BAX,Baxter International,Health Care,US,sp500
BBY,Best Buy,Consumer Discretionary,US,sp500
BDX,Becton Dickinson,Health Care,US,sp500
BEN,Franklin Resources,Financials,US,sp500
BF-B,Brown–Forman,Consumer Staples,US,sp500
BG,Bunge Global,Consumer Staples,US,sp500
BIIB,Biogen,Health Care,US,sp500
BK,BNY Mellon,Financials,US,sp500
BLDR,Builders FirstSource,Industrials,US,sp500
BLK,BlackRock,Financials,US,sp500
BMY,Bristol Myers Squibb,Health Care,US,sp500
BR,Broadridge Financial Solutions,Industrials,US,sp500
BRK-B,Berkshire Hathaway,Financials,US,sp500
BRO,Brown & Brown,Financials,US,sp500
BSX,Boston Scientific,Health Care,US,sp500
